,date,state,fips,cases,deaths,month
2635,2020-04-19,Northern Mariana Islands,69,14,2,4
2629,2020-04-19,New Hampshire,33,1392,41,4
2630,2020-04-19,New Jersey,34,85301,4202,4
2631,2020-04-19,New Mexico,35,1845,55,4
2632,2020-04-19,New York,36,246741,17793,4
2633,2020-04-19,North Carolina,37,6493,183,4
2634,2020-04-19,North Dakota,38,585,10,4
2637,2020-04-19,Oklahoma,40,2599,140,4
2636,2020-04-19,Ohio,39,11602,471,4
2638,2020-04-19,Oregon,41,1910,74,4
2639,2020-04-19,Pennsylvania,42,32992,1285,4
2640,2020-04-19,Puerto Rico,72,1213,41,4
2688,2020-04-20,North Carolina,37,6764,187,4
2627,2020-04-19,Nebraska,31,1473,28,4
2689,2020-04-20,North Dakota,38,627,13,4
2683,2020-04-20,Nevada,32,3830,163,4
2682,2020-04-20,Nebraska,31,1646,33,4
2671,2020-04-20,Kansas,20,2030,101,4
2666,2020-04-20,Hawaii,15,578,10,4
2687,2020-04-20,New York,36,251608,18412,4
2686,2020-04-20,New Mexico,35,1971,58,4
2685,2020-04-20,New Jersey,34,88806,4377,4
2684,2020-04-20,New Hampshire,33,1447,42,4
2667,2020-04-20,Idaho,16,1736,48,4
2668,2020-04-20,Illinois,17,31508,1359,4
2669,2020-04-20,Indiana,18,11784,666,4
2670,2020-04-20,Iowa,19,3175,79,4
2672,2020-04-20,Kentucky,21,3050,155,4
2664,2020-04-20,Georgia,13,18447,767,4
2673,2020-04-20,Louisiana,22,24523,1328,4
2674,2020-04-20,Maine,23,875,35,4
2675,2020-04-20,Maryland,24,13750,582,4
2676,2020-04-20,Massachusetts,25,39643,1809,4
2677,2020-04-20,Michigan,26,31929,2466,4
2678,2020-04-20,Minnesota,27,2470,143,4
2679,2020-04-20,Mississippi,28,4512,169,4
2680,2020-04-20,Missouri,29,5807,201,4
2681,2020-04-20,Montana,30,433,12,4
2665,2020-04-20,Guam,66,811,6,4
2663,2020-04-20,Florida,12,27050,822,4
2641,2020-04-19,Rhode Island,44,4706,150,4
2651,2020-04-19,West Virginia,54,890,20,4
2642,2020-04-19,South Carolina,45,4377,120,4
2643,2020-04-19,South Dakota,46,1635,7,4
2644,2020-04-19,Tennessee,47,6824,151,4
2645,2020-04-19,Texas,48,19441,503,4
2646,2020-04-19,Utah,49,3071,27,4
2647,2020-04-19,Vermont,50,812,36,4
2648,2020-04-19,Virgin Islands,78,53,3,4
2649,2020-04-19,Virginia,51,8536,277,4
2650,2020-04-19,Washington,53,11864,637,4
2652,2020-04-19,Wisconsin,55,4346,222,4
2662,2020-04-20,District of Columbia,11,2927,105,4
2653,2020-04-19,Wyoming,56,422,2,4
2654,2020-04-20,Alabama,1,5078,164,4
2655,2020-04-20,Alaska,2,319,7,4
2656,2020-04-20,Arizona,4,5064,191,4
2657,2020-04-20,Arkansas,5,1971,42,4
2658,2020-04-20,California,6,33862,1223,4
2659,2020-04-20,Colorado,8,10106,448,4
2660,2020-04-20,Connecticut,9,19815,1331,4
2661,2020-04-20,Delaware,10,2745,72,4
2628,2020-04-19,Nevada,32,3710,158,4
2525,2020-04-17,Northern Mariana Islands,69,14,2,4
2626,2020-04-19,Montana,30,433,10,4
2551,2020-04-18,Delaware,10,2538,67,4
2539,2020-04-17,Virginia,51,7492,238,4
2540,2020-04-17,Washington,53,11479,610,4
2541,2020-04-17,West Virginia,54,776,16,4
2542,2020-04-17,Wisconsin,55,4045,205,4
2543,2020-04-17,Wyoming,56,401,2,4
2544,2020-04-18,Alabama,1,4723,147,4
2545,2020-04-18,Alaska,2,312,7,4
2546,2020-04-18,Arizona,4,4719,181,4
2547,2020-04-18,Arkansas,5,1777,38,4
2548,2020-04-18,California,6,30829,1146,4
2549,2020-04-18,Colorado,8,9433,409,4
2550,2020-04-18,Connecticut,9,17550,1086,4
2552,2020-04-18,District of Columbia,11,2666,91,4
2537,2020-04-17,Vermont,50,779,34,4
2553,2020-04-18,Florida,12,25484,747,4
2554,2020-04-18,Georgia,13,17014,670,4
2555,2020-04-18,Guam,66,805,6,4
2556,2020-04-18,Hawaii,15,568,9,4
2557,2020-04-18,Idaho,16,1668,44,4
2558,2020-04-18,Illinois,17,29160,1272,4
2559,2020-04-18,Indiana,18,10730,633,4
2560,2020-04-18,Iowa,19,2513,74,4
2561,2020-04-18,Kansas,20,1820,86,4
2562,2020-04-18,Kentucky,21,2707,145,4
2563,2020-04-18,Louisiana,22,23580,1267,4
2564,2020-04-18,Maine,23,847,32,4
2538,2020-04-17,Virgin Islands,78,53,3,4
2536,2020-04-17,Utah,49,2813,23,4
2566,2020-04-18,Massachusetts,25,36372,1560,4
2521,2020-04-17,New Mexico,35,1711,51,4
2509,2020-04-17,Maine,23,827,29,4
2510,2020-04-17,Maryland,24,11641,494,4
2511,2020-04-17,Massachusetts,25,34402,1404,4
2512,2020-04-17,Michigan,26,29954,2227,4
2513,2020-04-17,Minnesota,27,2071,111,4
2514,2020-04-17,Mississippi,28,3793,140,4
2515,2020-04-17,Missouri,29,5283,184,4
2516,2020-04-17,Montana,30,422,8,4
2517,2020-04-17,Nebraska,31,1216,24,4
2518,2020-04-17,Nevada,32,3524,151,4
2519,2020-04-17,New Hampshire,33,1287,37,4
2520,2020-04-17,New Jersey,34,78467,3840,4
2522,2020-04-17,New York,36,233293,16473,4
2535,2020-04-17,Texas,48,18131,461,4
2523,2020-04-17,North Carolina,37,5859,159,4
2524,2020-04-17,North Dakota,38,439,9,4
2691,2020-04-20,Ohio,39,12919,509,4
2526,2020-04-17,Ohio,39,9107,418,4
2527,2020-04-17,Oklahoma,40,2465,136,4
2528,2020-04-17,Oregon,41,1785,70,4
2529,2020-04-17,Pennsylvania,42,30121,1027,4
2530,2020-04-17,Puerto Rico,72,1068,58,4
2531,2020-04-17,Rhode Island,44,4177,118,4
2532,2020-04-17,South Carolina,45,4086,116,4
2533,2020-04-17,South Dakota,46,1411,7,4
2534,2020-04-17,Tennessee,47,6423,146,4
2565,2020-04-18,Maryland,24,12379,534,4
2567,2020-04-18,Michigan,26,30718,2307,4
2625,2020-04-19,Missouri,29,5667,196,4
